!        sou        flux       theta        Diam        mass
!
        pol1    0.004171      0.6979     0.01219      0.4352
        pol2    0.004834      0.9147     0.01597      0.5043
        pol3    0.003415      0.6685     0.01167      0.3563
        pol4     0.02706        1.61     0.02811       2.823
        pol5    0.002978      0.6747     0.01178      0.3107
        pol6    0.004582      0.7838     0.01368      0.4781
        pol7     0.01333       0.967     0.01688       1.391
        pol8    0.006363        0.84     0.01467      0.6639
        pol9    0.003104      0.6665     0.01164      0.3239
       pol10     0.02995      0.8782     0.01533       3.125
       pol11     0.04908      0.8381     0.01463       5.121
       pol12     0.07295      0.7767     0.01356       7.611
       pol13    0.004749       0.696     0.01215      0.4955
       pol14    0.001125      0.4621    0.008069      0.1174
       pol15    0.003436      0.6619     0.01156      0.3585
       pol16    0.001484      0.5177     0.00904      0.1548
       pol17    0.008526       1.048      0.0183      0.8896
!
! mass mean median = 1.48 0.49
! flux mean median = 0.014 0.005
! size mean median = 0.014 0.014

