!        sou        flux       theta        Diam        mass
!
        pol1    0.004882      0.8315     0.01452      0.5093
        pol2    0.006298      0.9373     0.01636      0.6571
        pol3    0.004464      0.7606     0.01328      0.4657
        pol4    0.002408      0.5572    0.009728      0.2513
        pol5    0.001052      0.4124    0.007201      0.1098
        pol6    0.005491      0.8198     0.01431      0.5729
        pol7    0.003235      0.6082     0.01062      0.3375
        pol8    0.005867      0.6493     0.01134      0.6121
        pol9    0.002755      0.4888    0.008534      0.2874
       pol10     0.04116      0.9781     0.01708       4.294
       pol11      0.0674      0.8934      0.0156       7.032
       pol12    0.007008      0.6665     0.01164      0.7312
       pol13     0.00386      0.5837     0.01019      0.4028
       pol14    0.001433      0.4921    0.008592      0.1495
       pol15    0.002247      0.5949     0.01039      0.2345
